problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
cutiile-magice,1314213343,user_0125,2.78,cpp,unknown,1344729750,0.0,0.801888,1.0,0.340566,0.321588,0.018978,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.943881,0.047194,0.157418
cutiile-magice,1314234678,user_0087,2.78,cpp,unknown,1314236851,0.0,0.98049,1.0,0.394147,0.376562,0.017585,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.800668,0.040033,0.098331
cutiile-magice,1314234701,user_0087,2.78,cpp,unknown,1314236851,0.0,0.956635,1.0,0.386991,0.3762,0.010791,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.831699,0.041585,0.138412
cutiile-magice,1314234755,user_0087,2.78,cpp,unknown,1314236851,0.0,0.957283,1.0,0.387185,0.376341,0.010844,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.732902,0.036645,0.078438
cutiile-magice,1314234918,user_0087,2.78,cpp,unknown,1314236851,0.0,0.951502,1.0,0.385451,0.362138,0.023312,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.023119,0.051156,0.382364
cutiile-magice,1314235611,user_0085,2.78,java,recursion,1314236656,0.597938,0.986305,1.0,0.754654,0.0,0.754654,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],3.994343,0.199717,0.246482
cutiile-magice,1314235851,user_0043,2.78,cpp,unknown,1332399863,0.255319,0.985166,0.0556,0.454301,0.339002,0.1153,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.633645,0.031682,0.084915
cutiile-magice,1314236035,user_0136,2.78,cpp,unknown,1344729750,0.0,0.823409,1.0,0.347023,0.322916,0.024107,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.758251,0.037913,0.105344
cutiile-magice,1314236043,user_0043,2.78,cpp,dynamic_programming,1332399863,0.395349,0.988452,0.0556,0.539305,0.336203,0.203102,medium,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.680567,0.034028,0.149388
cutiile-magice,1314236116,user_0136,2.78,cpp,unknown,1344729750,0.0,0.803118,1.0,0.340936,0.314392,0.026544,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.189601,0.05948,0.171191
cutiile-magice,1314236213,user_0103,2.78,java,recursion,1314236656,0.711864,0.996681,1.0,0.826123,0.0,0.826123,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],3.642506,0.182125,0.191285
cutiile-magice,1314236215,user_0136,2.78,cpp,unknown,1344729750,0.0,0.810681,1.0,0.343204,0.308628,0.034576,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.689181,0.034459,0.091525
cutiile-magice,1314236453,user_0089,2.78,cpp,unknown,1314236851,0.0,0.980219,1.0,0.394066,0.376484,0.017581,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.813747,0.090687,0.427584
cutiile-magice,1314236488,user_0115,2.78,java,recursion,1314236656,0.730539,0.960518,1.0,0.826479,0.0,0.826479,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],6.227377,0.311369,0.545166
cutiile-magice,1314236490,user_0089,2.78,cpp,unknown,1314236851,0.0,0.980219,1.0,0.394066,0.376484,0.017581,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.423493,0.071175,0.15193
cutiile-magice,1314236585,user_0115,2.78,java,recursion,1314236656,0.709302,0.985683,1.0,0.821286,0.0,0.821286,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],6.591898,0.329595,0.587012
cutiile-magice,1314236626,user_0089,2.78,cpp,unknown,1314236851,0.0,0.977487,1.0,0.393246,0.36881,0.024436,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.792504,0.089625,0.253364
cutiile-magice,1314236628,user_0063,2.78,java,recursion,1314236656,0.711864,0.996713,1.0,0.826132,0.0,0.826132,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],4.998712,0.249936,0.461366
cutiile-magice,1314236635,user_0071,2.78,java,recursion,1314236656,0.595556,0.84312,1.0,0.710269,0.0,0.710269,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],7.260944,0.363047,0.736503
cutiile-magice,1314236649,user_0020,2.78,cpp,unknown,1344729750,0.0,0.904071,1.0,0.371221,0.341133,0.030089,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.726547,0.086327,0.397663
cutiile-magice,1314236656,user_0118,2.78,java,recursion,1314236656,1.0,1.0,1.0,1.0,1.0,0.0,reference,20,0,20,0.0,19,0,1,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],"[""input00.txt""]",6.391912,0.319596,0.525985
cutiile-magice,1314236666,user_0115,2.78,java,recursion,1314236656,0.681564,0.996518,1.0,0.807894,0.0,0.807894,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],6.438056,0.321903,0.511812
cutiile-magice,1314236669,user_0064,2.78,cpp,unknown,1314236851,0.0,0.980219,1.0,0.394066,0.376484,0.017581,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.068785,0.053439,0.169678
cutiile-magice,1314236740,user_0047,2.78,java,recursion,1314236656,0.689266,0.985207,1.0,0.809121,0.0,0.809121,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],4.465106,0.223255,0.361577
cutiile-magice,1314236767,user_0071,2.78,java,recursion,1314236656,0.606335,0.848464,1.0,0.71834,0.0,0.71834,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],6.939712,0.346986,0.655784
cutiile-magice,1314236776,user_0007,2.78,cpp,unknown,1314236851,0.0,0.980219,1.0,0.394066,0.376484,0.017581,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.97991,0.098995,0.323938
cutiile-magice,1314236797,user_0118,2.78,java,recursion,1314236656,0.979167,0.999996,1.0,0.987499,0.0,0.987499,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],6.148761,0.307438,0.466981
cutiile-magice,1314236807,user_0083,2.78,java,recursion,1314236656,0.53211,0.941797,1.0,0.701805,0.0,0.701805,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],7.45497,0.372748,0.86413
