problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
gigel-si-sosetele,1314234942,user_0227,1.04,java,brute_force,1314236279,0.71134,0.999146,0.9792,0.824468,0.0,0.824468,high,50,3,47,6.0,47,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],[],7.389935,0.147799,0.178176
gigel-si-sosetele,1314234977,user_0210,1.04,java,brute_force,1314236279,0.489451,0.986094,0.9792,0.687419,0.0,0.687419,medium,50,3,47,6.0,47,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],[],8.004679,0.160094,0.188133
gigel-si-sosetele,1314234996,user_0144,1.04,cpp,unknown,1323453945,0.0,0.929067,0.9792,0.37664,0.370814,0.005826,low,50,3,47,6.0,1,45,1,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input05.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input06.txt""]",135.664237,2.713285,3.0
gigel-si-sosetele,1314235052,user_0084,1.04,java,brute_force,1314236279,0.618834,0.912096,0.9792,0.742849,0.0,0.742849,high,50,2,48,4.0,39,8,1,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input10.txt"", ""input13.txt"", ""input19.txt"", ""input28.txt"", ""input32.txt"", ""input33.txt"", ""input42.txt"", ""input44.txt""]","[""input03.txt""]",33.981224,0.679624,3.0
gigel-si-sosetele,1314235116,user_0116,1.04,java,brute_force,1314236279,0.565854,0.965385,0.9792,0.727048,0.0,0.727048,high,50,2,48,4.0,6,42,0,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input37.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],130.885954,2.617719,3.0
gigel-si-sosetele,1314235288,user_0144,1.04,cpp,unknown,1323453945,0.0,0.930748,0.9792,0.377144,0.370652,0.006493,low,50,3,47,6.0,11,36,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input30.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input44.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],120.696288,2.413926,3.0
gigel-si-sosetele,1314235329,user_0144,1.04,cpp,unknown,1323453945,0.0,0.929649,0.9792,0.376815,0.37076,0.006055,low,50,3,47,6.0,11,36,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input30.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input44.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],120.849545,2.416991,3.0
gigel-si-sosetele,1314235438,user_0225,1.04,cpp,unknown,1323453945,0.0,0.956218,0.9792,0.384785,0.359489,0.025296,low,50,3,47,6.0,5,42,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input37.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],131.223194,2.624464,3.0
gigel-si-sosetele,1314235443,user_0109,1.04,cpp,unknown,1323453945,0.0,0.953827,0.9792,0.384068,0.358241,0.025827,low,50,3,47,6.0,21,26,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]","[""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input14.txt"", ""input17.txt"", ""input18.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input44.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],100.100742,2.002015,3.0
gigel-si-sosetele,1314235445,user_0227,1.04,java,brute_force,1314236279,0.69,0.9989,0.9792,0.81159,0.0,0.81159,high,50,3,47,6.0,47,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt"", ""input30.txt"", ""input31.txt"", ""input32.txt"", ""input33.txt"", ""input34.txt"", ""input35.txt"", ""input36.txt"", ""input37.txt"", ""input38.txt"", ""input39.txt"", ""input40.txt"", ""input41.txt"", ""input42.txt"", ""input43.txt"", ""input44.txt"", ""input45.txt"", ""input46.txt"", ""input47.txt"", ""input48.txt"", ""input49.txt""]",[],[],8.716588,0.174332,0.372677
