problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
gigel-si-telefonul,1314235808,user_0008,2.5,java,dynamic_programming,1314236793,0.544643,0.995905,0.05,0.630557,0.0,0.630557,medium,22,2,20,9.09,20,0,0,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.76634,0.125743,0.178032
gigel-si-telefonul,1314235912,user_0002,2.5,cpp,unknown,1344719237,0.0,0.919815,1.0,0.375944,0.353563,0.022382,low,22,2,20,9.09,20,0,0,False,"[""input01.txt"", ""input02.txt""]","[""input00.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.040654,0.092757,0.349559
gigel-si-telefonul,1314236017,user_0040,2.5,java,dynamic_programming,1314236793,0.56,0.835283,0.05,0.591585,0.0,0.591585,medium,22,3,19,13.64,18,0,1,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],"[""input20.txt""]",3.622026,0.164638,0.29433
gigel-si-telefonul,1314236025,user_0078,2.5,cpp,unknown,1344719237,0.0,0.939623,1.0,0.381887,0.351732,0.030155,low,22,2,20,9.09,20,0,0,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],1.969811,0.089537,0.39475
gigel-si-telefonul,1314236062,user_0078,2.5,cpp,unknown,1344719237,0.0,0.939841,1.0,0.381952,0.352082,0.02987,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.242571,0.101935,0.40144
gigel-si-telefonul,1314236081,user_0078,2.5,cpp,unknown,1344719237,0.0,0.940005,1.0,0.382002,0.352475,0.029527,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.839119,0.129051,0.403481
gigel-si-telefonul,1314236358,user_0042,2.5,java,dynamic_programming,1314236793,0.462222,0.87711,0.05,0.545466,0.0,0.545466,medium,22,2,20,9.09,20,0,0,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],3.063266,0.139239,0.20593
gigel-si-telefonul,1314236485,user_0042,2.5,java,dynamic_programming,1314236793,0.45614,0.858381,0.05,0.536199,0.0,0.536199,medium,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.894991,0.13159,0.178032
gigel-si-telefonul,1314236539,user_0042,2.5,java,dynamic_programming,1314236793,0.452174,0.865687,0.05,0.53601,0.0,0.53601,medium,22,2,20,9.09,20,0,0,False,"[""input00.txt"", ""input02.txt""]","[""input01.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.88891,0.131314,0.192345
gigel-si-telefonul,1314236594,user_0092,2.5,cpp,unknown,1344719237,0.0,0.818915,1.0,0.345675,0.325293,0.020382,low,22,3,19,13.64,19,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],[],2.483116,0.112869,0.364334
