problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
matei-si-diamantele,1314234563,user_0147,1.79,cpp,unknown,1314234411,0.32,0.947235,0.0358,0.47975,0.403795,0.075955,low,30,3,27,10.0,5,7,15,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input11.txt"", ""input12.txt"", ""input13.txt"", ""input16.txt"", ""input22.txt"", ""input23.txt"", ""input27.txt""]","[""input05.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input14.txt"", ""input15.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input25.txt"", ""input26.txt"", ""input28.txt"", ""input29.txt""]",38.373971,1.279132,3.0
matei-si-diamantele,1314234680,user_0246,1.79,cpp,unknown,1378120312,0.0,0.942375,1.0,0.382712,0.367291,0.015421,low,30,3,27,10.0,13,4,10,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input05.txt"", ""input20.txt"", ""input21.txt"", ""input25.txt""]","[""input07.txt"", ""input08.txt"", ""input09.txt"", ""input12.txt"", ""input15.txt"", ""input17.txt"", ""input19.txt"", ""input23.txt"", ""input26.txt"", ""input28.txt""]",28.893661,0.963122,3.0
matei-si-diamantele,1314234782,user_0126,1.79,java,grid_scan,1314236118,0.625551,0.93438,1.0,0.755644,0.0,0.755644,high,30,3,27,10.0,27,0,0,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],18.792977,0.626433,2.435622
matei-si-diamantele,1314234819,user_0261,1.79,java,grid_scan,1314236118,0.643478,0.98742,1.0,0.782313,0.0,0.782313,high,30,3,27,10.0,23,4,0,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input25.txt"", ""input26.txt"", ""input28.txt"", ""input29.txt""]",[],23.927002,0.797567,3.0
matei-si-diamantele,1314234834,user_0095,1.79,java,grid_scan,1314236118,0.73913,0.936211,1.0,0.824342,0.0,0.824342,high,30,3,27,10.0,23,4,0,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input25.txt"", ""input26.txt"", ""input28.txt"", ""input29.txt""]",[],24.549629,0.818321,3.0
matei-si-diamantele,1314234854,user_0044,1.79,cpp,unknown,1333751390,0.214286,0.88665,1.0,0.494567,0.385586,0.108981,low,30,0,30,0.0,0,3,27,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input07.txt"", ""input18.txt"", ""input22.txt""]","[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",18.463567,0.615452,3.0
matei-si-diamantele,1314234877,user_0095,1.79,java,grid_scan,1314236118,0.745614,0.938582,1.0,0.828943,0.0,0.828943,high,30,3,27,10.0,23,4,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input25.txt"", ""input26.txt"", ""input28.txt"", ""input29.txt""]",[],25.661828,0.855394,3.0
matei-si-diamantele,1314234886,user_0246,1.79,cpp,unknown,1378120312,0.0,0.942375,1.0,0.382712,0.367291,0.015421,low,30,3,27,10.0,3,0,24,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],"[""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",8.33376,0.277792,0.681156
matei-si-diamantele,1314234906,user_0126,1.79,java,grid_scan,1314236118,0.586777,0.921183,1.0,0.728421,0.0,0.728421,high,30,3,27,10.0,24,3,0,False,"[""input00.txt"", ""input01.txt"", ""input04.txt""]","[""input02.txt"", ""input03.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input25.txt"", ""input28.txt"", ""input29.txt""]",[],23.614816,0.787161,3.0
matei-si-diamantele,1314235046,user_0052,1.79,java,grid_scan,1314236118,0.694215,0.909383,1.0,0.789344,0.0,0.789344,high,30,3,27,10.0,27,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],12.21709,0.407236,0.698387
