problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds
organizare-mafiota,1314235234,user_0057,2.5,cpp,unknown,1323398709,0.0,0.801759,0.95,0.335528,0.31004,0.025488,low,22,3,19,13.64,7,12,0,False,"[""input00.txt"", ""input01.txt"", ""input15.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],44.902442,2.04102,3.0
organizare-mafiota,1314235845,user_0057,2.5,cpp,unknown,1323398709,0.0,0.847961,0.95,0.349388,0.341972,0.007416,low,22,2,20,9.09,7,3,10,False,"[""input00.txt"", ""input01.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input09.txt"", ""input10.txt"", ""input11.txt""]","[""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",23.398241,1.063556,3.0
organizare-mafiota,1314236564,user_0010,2.5,cpp,unknown,1323398709,0.0,0.874277,0.95,0.357283,0.335767,0.021516,low,22,3,19,13.64,5,7,7,False,"[""input00.txt"", ""input01.txt"", ""input05.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input13.txt"", ""input15.txt"", ""input16.txt""]","[""input12.txt"", ""input14.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",35.404361,1.609289,3.0
organizare-mafiota,1314236632,user_0010,2.5,cpp,unknown,1323398709,0.0,0.877928,0.95,0.358378,0.33762,0.020759,low,22,3,19,13.64,5,7,7,False,"[""input00.txt"", ""input01.txt"", ""input05.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt""]","[""input12.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",36.170364,1.644107,3.0
organizare-mafiota,1314236683,user_0010,2.5,cpp,unknown,1323398709,0.0,0.878072,0.95,0.358421,0.337721,0.020701,low,22,3,19,13.64,5,9,5,False,"[""input00.txt"", ""input01.txt"", ""input05.txt""]","[""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input15.txt"", ""input19.txt"", ""input20.txt""]","[""input14.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input21.txt""]",39.554683,1.79794,3.0
organizare-mafiota,1378130544,user_0037,2.5,java,graph_reachability,1314236028,0.327189,0.91265,0.95,0.565108,0.0,0.565108,medium,22,3,19,13.64,0,19,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],58.930933,2.678679,3.0
organizare-mafiota,1314236028,user_0032,5.0,java,graph_reachability,1314236028,1.0,1.0,1.0,1.0,1.0,0.0,reference,22,4,18,18.18,0,10,8,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input21.txt""]","[""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt""]",52.489985,2.385908,3.0
organizare-mafiota,1314236693,user_0045,5.0,cpp,unknown,1314212329,0.0,0.980584,0.6,0.354175,0.341284,0.012891,low,22,4,18,18.18,0,18,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],55.304818,2.513855,3.0
organizare-mafiota,1323398709,user_0002,5.0,cpp,greedy,1323398709,1.0,1.0,1.0,1.0,1.0,0.0,reference,22,3,19,13.64,2,17,0,False,"[""input00.txt"", ""input02.txt"", ""input03.txt""]","[""input01.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],51.973552,2.362434,3.0
organizare-mafiota,1331892309,user_0029,5.0,java,graph_reachability,1314236028,0.325843,0.925513,1.0,0.57316,0.0,0.57316,medium,22,4,18,18.18,0,18,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]","[""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt""]",[],55.156725,2.507124,3.0
