problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds,_global_index,source_path,code_length,language_group,cluster_within_language,language_cluster,candidate_type
cutiile-magice,1323073128,user_0097,50.0,cpp,dynamic_programming,1332671770.0,0.3,0.802458,0.9444,0.515177,0.33847,0.176707,medium,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.138814,0.056941,0.153394,170,cutiile-magice/submissions/1323073128.cpp,1055,cpp_c,0,cpp_c_0,fullscore
cutiile-magice,1361335320,user_0033,50.0,cpp,unknown,1332762969.0,0.0,0.958057,1.0,0.387417,0.363097,0.02432,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.216317,0.060816,0.201615,218,cutiile-magice/submissions/1361335320.cpp,397,cpp_c,1,cpp_c_1,fullscore
cutiile-magice,1359953979,user_0002,50.0,cpp,unknown,1332399863.0,0.0,0.898098,1.0,0.369429,0.335614,0.033816,low,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.957905,0.047895,0.112672,217,cutiile-magice/submissions/1359953979.cpp,410,cpp_c,1,cpp_c_1,fullscore
cutiile-magice,1370578798,user_0135,50.0,cpp,dynamic_programming,1332671770.0,0.378378,0.879108,0.9444,0.585199,0.352759,0.23244,medium,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.105688,0.055284,0.0986,221,cutiile-magice/submissions/1370578798.cpp,462,cpp_c,1,cpp_c_1,fullscore
cutiile-magice,1391865112,user_0093,50.0,cpp,mathematical_formula,1332762969.0,1.0,0.99999,1.0,0.999997,0.376868,0.623129,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],0.843717,0.042186,0.088013,239,cutiile-magice/submissions/1391865112.cpp,239,cpp_c,2,cpp_c_2,fullscore
cutiile-magice,1332763768,user_0004,50.0,cpp,mathematical_formula,1332762969.0,1.0,0.999857,1.0,0.999957,0.378687,0.62127,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.022743,0.051137,0.144928,209,cutiile-magice/submissions/1332763768.cpp,240,cpp_c,2,cpp_c_2,fullscore
cutiile-magice,1332762969,user_0045,50.0,cpp,mathematical_formula,1332762969.0,1.0,1.0,1.0,1.0,1.0,0.0,reference,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],1.562178,0.078109,0.198498,203,cutiile-magice/submissions/1332762969.cpp,244,cpp_c,2,cpp_c_2,fullscore
cutiile-magice,1323426563,user_0060,50.0,java,recursion,1314236656.0,0.717647,0.971899,0.0556,0.727718,0.0,0.727718,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],4.964831,0.248242,0.418395,176,cutiile-magice/submissions/1323426563.java,1287,java,0,java_0,fullscore
cutiile-magice,1314236668,user_0092,50.0,java,recursion,1314236656.0,0.717647,0.97187,0.0556,0.727709,0.0,0.727709,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],5.852454,0.292623,0.572455,155,cutiile-magice/submissions/1314236668.java,1301,java,0,java_0,fullscore
cutiile-magice,1332760961,user_0037,50.0,java,recursion,1314236656.0,0.717647,0.971885,0.0556,0.727714,0.0,0.727714,high,20,0,20,0.0,20,0,0,False,[],"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt""]",[],[],5.489293,0.274465,0.35236,201,cutiile-magice/submissions/1332760961.java,1322,java,0,java_0,fullscore
