submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1408417181,user_0333,cpp_c_0,50.0,cpp,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
1378090891,user_0296,cpp_c_0,50.0,cpp,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
1314213226,user_0402,cpp_c_0,50.0,cpp,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
1391862501,user_0251,cpp_c_1,50.0,cpp,Compute total propagation time from student 1,BFS level-order timer,Level-order BFS using queue size per layer,high,Processes the queue layer by layer and increments a timer after each BFS level.,1
1408492735,user_0409,cpp_c_1,50.0,cpp,Compute total propagation time from student 1,BFS level-order timer,Level-order BFS using queue size per layer,high,Processes the queue layer by layer and increments a timer after each BFS level.,1
1391862949,user_0235,cpp_c_1,50.0,cpp,Compute total propagation time from student 1,BFS level-order timer,Level-order BFS using queue size per layer,high,Processes the queue layer by layer and increments a timer after each BFS level.,1
1314235879,user_0032,java_0,50.0,java,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
1314234521,user_0205,java_0,50.0,java,Compute total propagation time from student 1,BFS explicit time in queue,BFS queue stores node together with explicit time/depth,high,Carries propagation time in the queue state instead of a separate distance array.,1
1314235968,user_0175,java_0,50.0,java,Compute total propagation time from student 1,Dijkstra on unit-weight graph,Dijkstra-style ordered set / priority structure on unit-weight edges,high,Runs shortest-path relaxation although every friendship edge has cost 1.,1
1391903457,user_0282,java_1,50.0,java,Compute total propagation time from student 1,BFS level-order timer,Level-order BFS using queue size per layer,high,Processes the queue layer by layer and increments a timer after each BFS level.,1
1378096692,user_0287,java_1,50.0,java,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
1314238913,user_0051,java_1,50.0,java,Compute total propagation time from student 1,BFS distance array,FIFO BFS + per-node distance array,high,Stores distance/time for each student and returns the maximum BFS distance.,1
