submission_id,user_id,score,language,predicted_algorithm,method,probability,second_algorithm,second_probability,margin,manual_reviewed
1361592884,user_0001,1.04,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314237717,user_0002,1.04,java,DIRECT_NESTED_LOOP_MATCHING,model_final,,,,,
1361582011,user_0004,46.88,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314234538,user_0005,4.17,java,DIRECT_NESTED_LOOP_MATCHING,model_final,,,,,
1314236471,user_0005,5.21,java,DIRECT_NESTED_LOOP_MATCHING,model_final,,,,,
1314237737,user_0005,3.13,java,DIRECT_NESTED_LOOP_MATCHING,model_final,,,,,
1332764148,user_0006,46.88,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1332753909,user_0007,1.04,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1332754077,user_0007,2.08,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1323456221,user_0008,1.04,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1323456813,user_0008,50.0,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1323426153,user_0009,2.08,java,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA,model_final,,,,,
1314237221,user_0010,1.04,java,UNKNOWN,probabilities,0.6953125,DIRECT_NESTED_LOOP_MATCHING,0.12060546875,0.57470703125,
1323384436,user_0011,1.04,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1323387637,user_0011,12.5,cpp,SORT_TWO_POINTER_MATCHING,model_final,,,,,
1323387706,user_0011,46.88,cpp,SORT_TWO_POINTER_MATCHING,model_final,,,,,
1314235340,user_0012,11.46,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA,model_final,,,,,
1314236842,user_0012,12.5,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA,model_final,,,,,
1314237085,user_0012,14.58,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314237275,user_0012,32.29,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314237522,user_0012,48.96,cpp,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314235886,user_0013,1.04,cpp,SORT_BINARY_SEARCH_MATCHING,model_final,,,,,
1314236517,user_0013,50.0,cpp,FREQUENCY_COUNT_AGGREGATE_STAR_FORMULA,model_final,,,,,
1323432380,user_0014,46.88,cpp,SORT_TWO_POINTER_MATCHING,model_final,,,,,
1314235019,user_0015,47.92,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314235404,user_0015,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1314235737,user_0016,5.21,java,DIRECT_NESTED_LOOP_MATCHING,model_final,,,,,
1314236980,user_0016,50.0,java,FREQUENCY_COUNT_EXPLICIT_WILDCARD_MATCHING,model_final,,,,,
1323425375,user_0017,12.5,cpp,SORT_TWO_POINTER_MATCHING,model_final,,,,,
1323425727,user_0017,12.5,cpp,SORT_TWO_POINTER_MATCHING,model_final,,,,,
