file,user_id,attempt_number,submission_id,language,original_language,result,score,timestamp,code_length,code_lines,uses_sort,uses_hash,source_path
1361592884.cpp,user_0001,1,1361592884,cpp,cpp,Wrong Answer,1.04,2117027,1034,48,False,True,gigel-si-sosetele/submissions/1361592884.cpp
1361592965.cpp,user_0001,2,1361592965,cpp,cpp,Wrong Answer,47.92,2117030,1033,47,False,True,gigel-si-sosetele/submissions/1361592965.cpp
1314236919.java,user_0005,4,1314236919,java,java8,Wrong Answer,5.21,135,1989,80,True,False,gigel-si-sosetele/submissions/1314236919.java
1314237737.java,user_0005,5,1314237737,java,java8,Terminated due ...,3.13,177,2384,92,True,False,gigel-si-sosetele/submissions/1314237737.java
1323456813.cpp,user_0008,3,1323456813,cpp,cpp14,Accepted,50.0,523423,1877,83,False,True,gigel-si-sosetele/submissions/1323456813.cpp
1323384436.cpp,user_0011,1,1323384436,cpp,cpp,Wrong Answer,1.04,519582,1293,64,False,True,gigel-si-sosetele/submissions/1323384436.cpp
1323384873.cpp,user_0011,2,1323384873,cpp,cpp,Wrong Answer,2.08,519598,2177,96,False,True,gigel-si-sosetele/submissions/1323384873.cpp
1323387637.cpp,user_0011,3,1323387637,cpp,cpp,Wrong Answer,12.5,519708,1384,75,True,True,gigel-si-sosetele/submissions/1323387637.cpp
1323387618.cpp,user_0011,4,1323387618,cpp,cpp,Wrong Answer,8.33,519708,1370,75,True,True,gigel-si-sosetele/submissions/1323387618.cpp
1323387706.cpp,user_0011,5,1323387706,cpp,cpp,Wrong Answer,46.88,519711,1677,87,True,True,gigel-si-sosetele/submissions/1323387706.cpp
1323387754.cpp,user_0011,6,1323387754,cpp,cpp,Accepted,50.0,519713,1747,89,True,True,gigel-si-sosetele/submissions/1323387754.cpp
1323432380.cpp,user_0014,1,1323432380,cpp,cpp14,Wrong Answer,46.88,521911,1598,72,True,False,gigel-si-sosetele/submissions/1323432380.cpp
1323432402.cpp,user_0014,2,1323432402,cpp,cpp14,Accepted,50.0,521913,1627,74,True,False,gigel-si-sosetele/submissions/1323432402.cpp
1323425285.cpp,user_0017,1,1323425285,cpp,cpp,Wrong Answer,46.88,521525,944,47,True,False,gigel-si-sosetele/submissions/1323425285.cpp
1323425375.cpp,user_0017,2,1323425375,cpp,cpp,Wrong Answer,12.5,521527,1063,54,True,False,gigel-si-sosetele/submissions/1323425375.cpp
1323425542.cpp,user_0017,3,1323425542,cpp,cpp,Wrong Answer,12.5,521532,999,50,True,False,gigel-si-sosetele/submissions/1323425542.cpp
1323425727.cpp,user_0017,5,1323425727,cpp,cpp,Wrong Answer,12.5,521538,1033,52,True,False,gigel-si-sosetele/submissions/1323425727.cpp
1323425745.cpp,user_0017,6,1323425745,cpp,cpp,Wrong Answer,46.88,521539,1036,52,True,False,gigel-si-sosetele/submissions/1323425745.cpp
1323426049.cpp,user_0017,7,1323426049,cpp,cpp,Accepted,50.0,521548,1511,72,True,False,gigel-si-sosetele/submissions/1323426049.cpp
1314236512.cpp,user_0018,2,1314236512,cpp,cpp,Wrong Answer,46.88,111,1429,69,True,False,gigel-si-sosetele/submissions/1314236512.cpp
1314236675.cpp,user_0018,3,1314236675,cpp,cpp,Wrong Answer,46.88,121,1161,55,True,False,gigel-si-sosetele/submissions/1314236675.cpp
1314236811.cpp,user_0018,4,1314236811,cpp,cpp,Accepted,50.0,130,1632,70,True,False,gigel-si-sosetele/submissions/1314236811.cpp
1332321248.java,user_0022,1,1332321248,java,java8,Wrong Answer,13.54,1010118,2464,102,True,False,gigel-si-sosetele/submissions/1332321248.java
1332321270.java,user_0022,2,1332321270,java,java8,Wrong Answer,14.58,1010123,2480,102,True,False,gigel-si-sosetele/submissions/1332321270.java
1332321290.java,user_0022,3,1332321290,java,java8,Wrong Answer,16.67,1010129,2414,100,True,False,gigel-si-sosetele/submissions/1332321290.java
