submission_id,user_id,score,language,predicted_algorithm,method,probability,second_algorithm,second_probability,margin
1359951515,user_0001,50,cpp,DP_STATE,probabilities_8class,0.98828125,GREEDY_NEXT_CHEAPER,0.00402832,0.98425293
1314235912,user_0002,2.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.58203125,GREEDY_CHEAPEST_REACHABLE,0.353515625,0.228515625
1323386252,user_0003,5,cpp,DP_STATE,probabilities_8class,0.9765625,UNKNOWN,0.013916016,0.962646484
1323386334,user_0003,20,cpp,DP_STATE,probabilities_8class,0.97265625,UNKNOWN,0.012268066,0.960388184
1323386957,user_0003,25,cpp,DP_STATE,probabilities_8class,0.97265625,DIJKSTRA_STATE_GRAPH,0.010803223,0.961853027
1323387233,user_0003,25,cpp,DP_STATE,probabilities_8class,0.984375,UNKNOWN,0.008483887,0.975891113
1323446269,user_0003,25,cpp,DP_STATE,probabilities_8class,0.96484375,UNKNOWN,0.013793945,0.951049805
1323446304,user_0003,50,cpp,DP_STATE,probabilities_8class,0.96484375,UNKNOWN,0.015563965,0.949279785
1323446283,user_0003,25,cpp,DP_STATE,probabilities_8class,0.9765625,UNKNOWN,0.00958252,0.96697998
1314235971,user_0004,7.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.228515625,GREEDY_CHEAPEST_REACHABLE,0.228515625,0
1314237066,user_0004,7.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.458984375,GREEDY_CHEAPEST_REACHABLE,0.404296875,0.0546875
1314237596,user_0004,5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.5078125,GREEDY_CHEAPEST_REACHABLE,0.30859375,0.19921875
1323455893,user_0005,22.5,java,GREEDY_PREFIX_MINIMUM,manual_review,,,,
1323426935,user_0006,22.5,cpp,DP_STATE,probabilities_8class,0.8203125,GREEDY_CHEAPEST_REACHABLE,0.052246094,0.768066406
1323427109,user_0006,22.5,cpp,DP_STATE,probabilities_8class,0.87109375,GREEDY_NEXT_CHEAPER,0.038330078,0.832763672
1323427765,user_0006,42.5,cpp,DP_STATE,probabilities_8class,0.98046875,UNKNOWN,0.006591797,0.973876953
1323429754,user_0006,32.5,cpp,DP_STATE,probabilities_8class,0.97265625,UNKNOWN,0.00958252,0.96307373
1323429910,user_0006,45,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002456665,0.989730835
1323429935,user_0006,50,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002456665,0.989730835
1323455449,user_0006,5,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002456665,0.989730835
1323455462,user_0006,50,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002456665,0.989730835
1323455455,user_0006,50,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002456665,0.989730835
1332203404,user_0007,22.5,cpp,DP_STATE,probabilities_8class,0.59765625,GREEDY_NEXT_CHEAPER,0.081054688,0.516601563
1332203430,user_0007,50,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.34375,GREEDY_PREFIX_MINIMUM,0.236328125,0.107421875
1314235808,user_0008,2.5,java,DP_STATE,probabilities_8class,0.53125,GREEDY_PREFIX_MINIMUM,0.1953125,0.3359375
1332321524,user_0009,25,java,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.6171875,GREEDY_NEXT_CHEAPER,0.29296875,0.32421875
1332376143,user_0009,50,java,SLIDING_WINDOW_MINIMUM,manual_review,,,,
1332720333,user_0010,5,cpp,DP_STATE,probabilities_8class,0.98828125,DIJKSTRA_STATE_GRAPH,0.003570557,0.984710693
1332720368,user_0010,50,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002166748,0.990020752
1314237182,user_0011,5,java,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.5234375,GREEDY_NEXT_CHEAPER,0.359375,0.1640625
1332550515,user_0012,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1332551583,user_0012,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1332551689,user_0012,50,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1344635291,user_0013,50,cpp,DP_STATE,probabilities_8class,0.9921875,DIJKSTRA_STATE_GRAPH,0.001693726,0.990493774
1323427915,user_0014,2.5,cpp,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.002166748,0.990020752
1323427973,user_0014,50,cpp,DP_STATE,probabilities_8class,0.98828125,GREEDY_NEXT_CHEAPER,0.003143311,0.985137939
1314236684,user_0015,25,java,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.52734375,GREEDY_NEXT_CHEAPER,0.41015625,0.1171875
1314236785,user_0015,25,java,DP_STATE,probabilities_8class,0.98046875,GREEDY_NEXT_CHEAPER,0.005828857,0.974639893
1332760662,user_0016,50,cpp,DP_STATE,probabilities_8class,0.98828125,UNKNOWN,0.004058838,0.984222412
1314235184,user_0017,50,cpp,DP_STATE,probabilities_8class,0.9921875,DIJKSTRA_STATE_GRAPH,0.001693726,0.990493774
1323427238,user_0018,5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.51953125,GREEDY_CHEAPEST_REACHABLE,0.357421875,0.162109375
1323427658,user_0018,7.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.482421875,GREEDY_CHEAPEST_REACHABLE,0.42578125,0.056640625
1323432332,user_0018,7.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.484375,GREEDY_CHEAPEST_REACHABLE,0.427734375,0.056640625
1323432379,user_0018,7.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.49609375,GREEDY_CHEAPEST_REACHABLE,0.4375,0.05859375
1323432495,user_0018,25,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.60546875,GREEDY_CHEAPEST_REACHABLE,0.32421875,0.28125
1323432586,user_0018,25,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.44921875,GREEDY_CHEAPEST_REACHABLE,0.44921875,0
1323432645,user_0018,20,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.478515625,GREEDY_NEXT_CHEAPER,0.421875,0.056640625
1323432665,user_0018,25,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.48046875,GREEDY_NEXT_CHEAPER,0.423828125,0.056640625
1323432709,user_0018,22.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.54296875,GREEDY_CHEAPEST_REACHABLE,0.330078125,0.212890625
1332755494,user_0019,22.5,cpp,DP_STATE,probabilities_8class,0.98828125,GREEDY_NEXT_CHEAPER,0.003143311,0.985137939
1332755545,user_0019,17.5,cpp,DP_STATE,probabilities_8class,0.984375,GREEDY_NEXT_CHEAPER,0.005157471,0.979217529
1332755677,user_0019,25,cpp,DP_STATE,probabilities_8class,0.98828125,GREEDY_NEXT_CHEAPER,0.003143311,0.985137939
1332756043,user_0019,25,cpp,DP_STATE,probabilities_8class,0.984375,GREEDY_NEXT_CHEAPER,0.005187988,0.979187012
1332756021,user_0019,25,cpp,DP_STATE,probabilities_8class,0.9921875,UNKNOWN,0.003158569,0.989028931
1332763872,user_0020,50,cpp,DP_STATE,probabilities_8class,0.984375,UNKNOWN,0.005859375,0.978515625
1314236551,user_0021,22.5,java,GREEDY_NEXT_CHEAPER,probabilities_8class,0.56640625,GREEDY_CHEAPEST_REACHABLE,0.34375,0.22265625
1314236642,user_0021,50,java,GREEDY_NEXT_CHEAPER,manual_review,,,,
1344346526,user_0022,25,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.4921875,GREEDY_NEXT_CHEAPER,0.43359375,0.05859375
1391907728,user_0023,35,cpp,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1391907768,user_0023,50,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.5625,GREEDY_CHEAPEST_REACHABLE,0.38671875,0.17578125
1314236944,user_0024,2.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.484375,GREEDY_CHEAPEST_REACHABLE,0.333984375,0.150390625
1323455889,user_0025,50,cpp,SLIDING_WINDOW_MINIMUM,manual_review,,,,
1332757093,user_0026,22.5,cpp,DP_STATE,probabilities_8class,0.99609375,DIJKSTRA_STATE_GRAPH,0.001922607,0.994171143
1332757506,user_0026,42.5,cpp,DP_STATE,probabilities_8class,0.9921875,DIJKSTRA_STATE_GRAPH,0.002792358,0.989395142
1344712458,user_0027,5,cpp,UNKNOWN,probabilities_8class,0.427734375,DP_STATE,0.29296875,0.134765625
1344719237,user_0027,2.5,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.51953125,GREEDY_CHEAPEST_REACHABLE,0.458984375,0.060546875
1344720163,user_0027,50,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.578125,GREEDY_CHEAPEST_REACHABLE,0.3984375,0.1796875
1323453155,user_0028,22.5,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323453212,user_0028,22.5,java,GREEDY_PREFIX_MINIMUM,probabilities_8class,0.259765625,GREEDY_CHEAPEST_REACHABLE,0.202148438,0.057617188
1323453254,user_0028,20,java,GREEDY_PREFIX_MINIMUM,probabilities_8class,0.294921875,GREEDY_CHEAPEST_REACHABLE,0.1796875,0.115234375
1323453404,user_0028,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323453456,user_0028,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323453484,user_0028,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323453501,user_0028,27.5,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323453816,user_0028,2.5,java,DP_STATE,probabilities_8class,0.221679688,UNKNOWN,0.221679688,0
1323453822,user_0028,30,java,GREEDY_CHEAPEST_REACHABLE,manual_review,,,,
1323430764,user_0029,2.5,java,GREEDY_PREFIX_MINIMUM,probabilities_8class,0.3046875,GREEDY_CHEAPEST_REACHABLE,0.23828125,0.06640625
1323430867,user_0029,5,java,UNKNOWN,probabilities_8class,0.26171875,GREEDY_CHEAPEST_REACHABLE,0.204101563,0.057617188
1332143427,user_0030,30,java,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.003158569,0.989028931
1332143610,user_0030,42.5,java,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.003570557,0.988616943
1332143661,user_0030,50,java,DP_STATE,probabilities_8class,0.9921875,GREEDY_NEXT_CHEAPER,0.003570557,0.988616943
1332621520,user_0031,50,cpp,DP_STATE,probabilities_8class,0.9921875,DIJKSTRA_STATE_GRAPH,0.003158569,0.989028931
1314237108,user_0032,5,cpp,UNKNOWN,probabilities_8class,0.9609375,DP_STATE,0.032958984,0.927978516
1314237206,user_0032,5,cpp,GREEDY_PREFIX_MINIMUM,probabilities_8class,0.2578125,GREEDY_CHEAPEST_REACHABLE,0.200195313,0.057617188
1323445074,user_0033,25,java,GREEDY_NEXT_CHEAPER,probabilities_8class,0.60546875,GREEDY_CHEAPEST_REACHABLE,0.32421875,0.28125
1323456041,user_0034,25,cpp,DP_STATE,probabilities_8class,0.99609375,GREEDY_NEXT_CHEAPER,0.001922607,0.994171143
1323456140,user_0034,17.5,cpp,DP_STATE,probabilities_8class,0.99609375,GREEDY_NEXT_CHEAPER,0.002182007,0.993911743
1391614198,user_0035,50,cpp,GREEDY_NEXT_CHEAPER,probabilities_8class,0.92578125,GREEDY_CHEAPEST_REACHABLE,0.066894531,0.858886719
1323404867,user_0036,50,cpp,DP_STATE,probabilities_8class,0.98828125,GREEDY_NEXT_CHEAPER,0.0027771,0.98550415
1323445893,user_0037,50,cpp,DP_STATE,probabilities_8class,0.984375,DIJKSTRA_STATE_GRAPH,0.004577637,0.979797363
1342820236,user_0038,2.5,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.408203125,GREEDY_NEXT_CHEAPER,0.359375,0.048828125
1342820510,user_0038,25,cpp,GREEDY_CHEAPEST_REACHABLE,probabilities_8class,0.4296875,GREEDY_NEXT_CHEAPER,0.37890625,0.05078125
1342820740,user_0038,50,cpp,GREEDY_NEXT_CHEAPER,manual_review,,,,
1314237080,user_0039,5,java,DP_STATE,probabilities_8class,0.96484375,DIJKSTRA_STATE_GRAPH,0.010742188,0.954101563
