problem,submission_id,user_id,score,language,predicted_algorithm,best_reference_id,jplag_similarity,feature_similarity,score_compatibility,combined_score,second_combined_score,combined_margin,confidence,tests_run,tests_passed,tests_failed,pass_rate_percentage,wrong_answers,timeouts,runtime_errors,compilation_error,passed_tests,failed_tests,timeout_tests,runtime_error_tests,total_execution_time_seconds,average_execution_time_seconds,maximum_execution_time_seconds,_global_index,source_path,code_length,language_group,cluster_within_language,language_cluster,candidate_type
matei-si-diamantele,1370607065,user_0287,50.0,cpp,unknown,1314234411.0,0.0,0.902975,1.0,0.370892,0.325243,0.04565,low,30,26,4,86.67,0,4,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input12.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]","[""input12.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]",[],53.117347,1.770578,3.0,563,matei-si-diamantele/submissions/1370607065.cpp,364,cpp_c,0,cpp_c_0,fullscore
matei-si-diamantele,1344626355,user_0096,50.0,cpp,unknown,1314234411.0,0.0,0.88362,1.0,0.365086,0.322898,0.042188,low,0,0,0,0.0,0,0,0,True,[],[],[],[],0.0,0.0,0.0,526,matei-si-diamantele/submissions/1344626355.cpp,429,cpp_c,0,cpp_c_0,fullscore
matei-si-diamantele,1314234451,user_0071,50.0,cpp,unknown,1391825752.0,0.0,0.92624,0.8214,0.360012,0.338866,0.021146,low,30,13,17,43.33,0,17,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input10.txt"", ""input14.txt"", ""input18.txt"", ""input24.txt"", ""input25.txt"", ""input27.txt"", ""input29.txt""]","[""input05.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input26.txt"", ""input28.txt""]","[""input05.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input26.txt"", ""input28.txt""]",[],70.648831,2.354961,3.0,407,matei-si-diamantele/submissions/1314234451.cpp,441,cpp_c,0,cpp_c_0,fullscore
matei-si-diamantele,1344373888,user_0259,50.0,cpp,unknown,1314234411.0,0.0,0.827387,1.0,0.348216,0.328424,0.019792,low,30,25,5,83.33,0,5,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input05.txt"", ""input12.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]","[""input05.txt"", ""input12.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]",[],56.245595,1.874853,3.0,515,matei-si-diamantele/submissions/1344373888.cpp,419,cpp_c,1,cpp_c_1,fullscore
matei-si-diamantele,1314234384,user_0289,50.0,cpp,unknown,1314234411.0,0.0,0.86808,1.0,0.360424,0.349785,0.010639,low,30,30,0,100.0,0,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],[],13.836612,0.46122,0.768665,404,matei-si-diamantele/submissions/1314234384.cpp,529,cpp_c,1,cpp_c_1,fullscore
matei-si-diamantele,1332550913,user_0074,50.0,cpp,grid_scan,1314234411.0,0.428571,0.912922,1.0,0.631019,0.366538,0.264481,medium,30,24,6,80.0,0,6,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input13.txt"", ""input14.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input22.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]","[""input05.txt"", ""input12.txt"", ""input15.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]","[""input05.txt"", ""input12.txt"", ""input15.txt"", ""input20.txt"", ""input21.txt"", ""input23.txt""]",[],55.910048,1.863668,3.0,486,matei-si-diamantele/submissions/1332550913.cpp,531,cpp_c,1,cpp_c_1,fullscore
matei-si-diamantele,1323422331,user_0110,50.0,java,grid_scan,1314236118.0,0.719212,0.876967,0.0358,0.698197,0.0,0.698197,medium,30,30,0,100.0,0,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],[],12.091739,0.403058,0.587359,457,matei-si-diamantele/submissions/1323422331.java,1585,java,0,java_0,fullscore
matei-si-diamantele,1391907417,user_0163,50.0,java,grid_scan,1314236118.0,0.722772,0.879446,0.0358,0.701077,0.0,0.701077,high,30,30,0,100.0,0,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],[],15.49668,0.516556,0.987166,604,matei-si-diamantele/submissions/1391907417.java,1609,java,0,java_0,fullscore
matei-si-diamantele,1323366910,user_0109,50.0,java,grid_scan,1314236118.0,0.560386,0.87933,0.0358,0.603611,0.0,0.603611,medium,30,30,0,100.0,0,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],[],10.940193,0.364673,0.534104,448,matei-si-diamantele/submissions/1323366910.java,1654,java,0,java_0,fullscore
matei-si-diamantele,1391817300,user_0268,50.0,java,unknown,1314236118.0,0.272251,0.848503,0.0358,0.421482,0.0,0.421482,low,30,30,0,100.0,0,0,0,False,"[""input00.txt"", ""input01.txt"", ""input02.txt"", ""input03.txt"", ""input04.txt"", ""input05.txt"", ""input06.txt"", ""input07.txt"", ""input08.txt"", ""input09.txt"", ""input10.txt"", ""input11.txt"", ""input12.txt"", ""input13.txt"", ""input14.txt"", ""input15.txt"", ""input16.txt"", ""input17.txt"", ""input18.txt"", ""input19.txt"", ""input20.txt"", ""input21.txt"", ""input22.txt"", ""input23.txt"", ""input24.txt"", ""input25.txt"", ""input26.txt"", ""input27.txt"", ""input28.txt"", ""input29.txt""]",[],[],[],29.534554,0.984485,1.63186,595,matei-si-diamantele/submissions/1391817300.java,1533,java,1,java_1,fullscore
