submission_id,file,language,score,model_prediction,final_algorithm,decision_source,probability,second_algorithm,second_probability,margin,p_DFS_TOPOLOGICAL_ORDER_CHECK,p_KAHN_TOPOLOGICAL_ORDER_CHECK,p_DEGREE_BASED_HEURISTIC,p_SINGLE_PIVOT_FORWARD_REVERSE_DFS,p_REPEATED_DFS_REACHABILITY,p_REPEATED_BFS_REACHABILITY,p_FLOYD_WARSHALL_REACHABILITY,p_UNKNOWN
1314158843,organizare-mafiota/submissions/1314158843.cpp,cpp,45,KAHN_TOPOLOGICAL_ORDER_CHECK,KAHN_TOPOLOGICAL_ORDER_CHECK,probability_model,0.86328125,DFS_TOPOLOGICAL_ORDER_CHECK,0.103027344,0.760253906,0.103027344,0.86328125,0.017944336,0.005828857,0.002426147,0.002578735,0.002426147,0.001220703
1314158851,organizare-mafiota/submissions/1314158851.cpp,cpp,47.5,KAHN_TOPOLOGICAL_ORDER_CHECK,KAHN_TOPOLOGICAL_ORDER_CHECK,probability_model,0.86328125,DFS_TOPOLOGICAL_ORDER_CHECK,0.103027344,0.760253906,0.103027344,0.86328125,0.017944336,0.005828857,0.002426147,0.002578735,0.002426147,0.001220703
1314158859,organizare-mafiota/submissions/1314158859.cpp,cpp,50,KAHN_TOPOLOGICAL_ORDER_CHECK,KAHN_TOPOLOGICAL_ORDER_CHECK,probability_model,0.86328125,DFS_TOPOLOGICAL_ORDER_CHECK,0.103027344,0.760253906,0.103027344,0.86328125,0.017944336,0.005828857,0.002426147,0.002578735,0.002426147,0.001220703
1314158862,organizare-mafiota/submissions/1314158862.cpp,cpp,50,DFS_TOPOLOGICAL_ORDER_CHECK,DFS_TOPOLOGICAL_ORDER_CHECK,manual_gold,0.94921875,KAHN_TOPOLOGICAL_ORDER_CHECK,0.022338867,0.926879883,0.94921875,0.022338867,0.004394531,0.009277344,0.005645752,0.001945496,0.002212524,0.005645752
1314168969,organizare-mafiota/submissions/1314168969.java,java,50,KAHN_TOPOLOGICAL_ORDER_CHECK,KAHN_TOPOLOGICAL_ORDER_CHECK,manual_gold,0.984375,DEGREE_BASED_HEURISTIC,0.005157471,0.979217529,0.001678467,0.984375,0.005157471,0.001304626,0.001014709,0.001899719,0.001304626,0.002151489
1314184031,organizare-mafiota/submissions/1314184031.java,java,22.5,FLOYD_WARSHALL_REACHABILITY,FLOYD_WARSHALL_REACHABILITY,manual_review,0.9765625,UNKNOWN,0.020263672,0.956298828,0.000394821,0.000349045,0.000211716,0.000371933,0.000394821,0.001220703,0.9765625,0.020263672
1314184304,organizare-mafiota/submissions/1314184304.java,java,25,REPEATED_DFS_REACHABILITY,REPEATED_DFS_REACHABILITY,probability_model,0.83984375,FLOYD_WARSHALL_REACHABILITY,0.088867188,0.750976563,0.001434326,0.001838684,0.0025177,0.010559082,0.83984375,0.047363281,0.088867188,0.006408691
1314186184,organizare-mafiota/submissions/1314186184.cpp,cpp,50,DFS_TOPOLOGICAL_ORDER_CHECK,DFS_TOPOLOGICAL_ORDER_CHECK,manual_gold,0.95703125,KAHN_TOPOLOGICAL_ORDER_CHECK,0.019897461,0.937133789,0.95703125,0.019897461,0.003463745,0.008300781,0.002380371,0.001441956,0.000873566,0.0050354
1314212329,organizare-mafiota/submissions/1314212329.cpp,cpp,25,REPEATED_DFS_REACHABILITY,REPEATED_DFS_REACHABILITY,probability_model,0.59375,FLOYD_WARSHALL_REACHABILITY,0.248046875,0.345703125,0.006622314,0.004547119,0.010925293,0.033691406,0.59375,0.062988281,0.248046875,0.038085938
1314222956,organizare-mafiota/submissions/1314222956.java,java,50,KAHN_TOPOLOGICAL_ORDER_CHECK,KAHN_TOPOLOGICAL_ORDER_CHECK,manual_gold,0.984375,DEGREE_BASED_HEURISTIC,0.005157471,0.979217529,0.001678467,0.984375,0.005157471,0.001304626,0.001014709,0.001899719,0.001304626,0.002151489
1314222962,organizare-mafiota/submissions/1314222962.java,java,12.5,REPEATED_DFS_REACHABILITY,REPEATED_DFS_REACHABILITY,probability_model,0.83984375,FLOYD_WARSHALL_REACHABILITY,0.088867188,0.750976563,0.001434326,0.001838684,0.0025177,0.010559082,0.83984375,0.047363281,0.088867188,0.006408691
1314235234,organizare-mafiota/submissions/1314235234.cpp,cpp,2.5,UNKNOWN,UNKNOWN,uncertain_unknown,0.515625,SINGLE_PIVOT_FORWARD_REVERSE_DFS,0.189453125,0.326171875,0.047851563,0.010681152,0.042236328,0.189453125,0.114746094,0.042236328,0.037353516,0.515625
