submission_id,file,language,score,language_group,cluster,cluster_size,selection_role,pair_cosine_distance,algorithm,confidence,notes
1314186184,organizare-mafiota/submissions/1314186184.cpp,cpp,50.0,cpp_c,0,5,diverse_A,0.0624394416809082,,,
1370607970,organizare-mafiota/submissions/1370607970.cpp,cpp,50.0,cpp_c,0,5,diverse_B,0.0624394416809082,,,
1314235802,organizare-mafiota/submissions/1314235802.cpp,cpp,50.0,cpp_c,1,3,diverse_A,0.04716610908508301,,,
1359952643,organizare-mafiota/submissions/1359952643.cpp,cpp,50.0,cpp_c,1,3,diverse_B,0.04716610908508301,,,
1323431344,organizare-mafiota/submissions/1323431344.cpp,cpp,50.0,cpp_c,2,5,diverse_A,0.12678742408752441,,,
1378139766,organizare-mafiota/submissions/1378139766.cpp,cpp,50.0,cpp_c,2,5,diverse_B,0.12678742408752441,,,
1314158862,organizare-mafiota/submissions/1314158862.cpp,cpp,50.0,cpp_c,3,3,diverse_A,0.1180773377418518,,,
1344629085,organizare-mafiota/submissions/1344629085.cpp,cpp,50.0,cpp_c,3,3,diverse_B,0.1180773377418518,,,
1391688758,organizare-mafiota/submissions/1391688758.cpp,cpp,50.0,cpp_c,4,8,diverse_A,0.09331846237182617,,,
1391779888,organizare-mafiota/submissions/1391779888.cpp,cpp,50.0,cpp_c,4,8,diverse_B,0.09331846237182617,,,
1314236741,organizare-mafiota/submissions/1314236741.java,java,50.0,java,0,6,diverse_A,0.06813573837280273,,,
1323374677,organizare-mafiota/submissions/1323374677.java,java,50.0,java,0,6,diverse_B,0.06813573837280273,,,
1314168969,organizare-mafiota/submissions/1314168969.java,java,50.0,java,1,2,diverse_A,0.0,,,
1314222956,organizare-mafiota/submissions/1314222956.java,java,50.0,java,1,2,diverse_B,0.0,,,
