file,user_id,attempt_number,submission_id,language,original_language,result,score,timestamp,code_length,code_lines,algorithm,implementation_type,confidence,notes
1314236204.cpp,user_0010,1,1314236204,cpp,cpp,Wrong Answer,47.5,91,2634,82,,,,
1314236379.cpp,user_0010,2,1314236379,cpp,cpp,Wrong Answer,47.5,102,2587,80,,,,
1314236788.cpp,user_0010,7,1314236788,cpp,cpp,Wrong Answer,47.5,128,2304,72,,,,
1314236920.cpp,user_0010,10,1314236920,cpp,cpp,Wrong Answer,47.5,135,2690,79,,,,
1314236163.cpp,user_0014,1,1314236163,cpp,cpp,Wrong Answer,47.5,89,1021,50,,,,
1314237580.cpp,user_0014,3,1314237580,cpp,cpp,Wrong Answer,47.5,171,970,47,,,,
1314237062.cpp,user_0019,1,1314237062,cpp,cpp,Wrong Answer,47.5,145,2326,85,,,,
1323409209.cpp,user_0021,1,1323409209,cpp,cpp,Wrong Answer,47.5,520987,1694,67,,,,
1323450152.cpp,user_0022,2,1323450152,cpp,cpp,Wrong Answer,47.5,522945,1653,75,,,,
1391779874.cpp,user_0034,2,1391779874,cpp,cpp,Wrong Answer,47.5,3141468,1002,43,,,,
1333805821.cpp,user_0043,1,1333805821,cpp,cpp,Wrong Answer,47.5,1077921,989,50,,,,
1314158851.cpp,user_0053,2,1314158851,cpp,cpp,Terminated due ...,47.5,-7312,1253,63,,,,
1391779860.cpp,user_0034,1,1391779860,cpp,cpp,Wrong Answer,45.0,3141457,847,38,,,,
1314158843.cpp,user_0053,1,1314158843,cpp,cpp,Terminated due ...,45.0,-7313,1253,63,,,,
1314184304.java,user_0047,3,1314184304,java,java,Terminated due ...,25.0,-5440,2598,112,,,,
1314212329.cpp,user_0048,1,1314212329,cpp,cpp,Terminated due ...,25.0,-2367,1111,55,,,,
1314184031.java,user_0047,2,1314184031,java,java,Terminated due ...,22.5,-5486,3145,126,,,,
1314237712.java,user_0009,2,1314237712,java,java8,Terminated due ...,15.0,177,2677,112,,,,
1323449733.java,user_0013,2,1323449733,java,java,Terminated due ...,15.0,522915,3732,144,,,,
1323449824.cpp,user_0022,1,1323449824,cpp,cpp,Terminated due ...,15.0,522921,1760,80,,,,
1323374501.java,user_0026,1,1323374501,java,java8,Terminated due ...,15.0,518786,3663,122,,,,
1323388419.cpp,user_0027,1,1323388419,cpp,cpp,Terminated due ...,15.0,519751,2149,105,,,,
1391864412.cpp,user_0033,1,1391864412,cpp,cpp,Terminated due ...,15.0,3145372,1310,58,,,,
1391864462.cpp,user_0036,1,1391864462,cpp,cpp,Terminated due ...,15.0,3145378,1347,52,,,,
