submission_id,file,language,cluster,selection_role,function,algorithm,implementation_type,bug_status,intended_algorithm,confidence,notes,hint_abstract,hint_intermediate,hint_concrete,needs_hint
1314236712,1314236712.cpp,cpp,0,prototype,,,,,,,,,,,
1314237178,1314237178.cpp,cpp,0,diverse,,,,,,,,,,,
1314236683,1314236683.cpp,cpp,1,prototype,,,,,,,,,,,
1344629085,1344629085.cpp,cpp,1,diverse,,,,,,,,,,,
1314237503,1314237503.java,java,2,prototype,,,,,,,,,,,
1391831540,1391831540.java,java,2,diverse,,,,,,,,,,,
1323449824,1323449824.cpp,cpp,3,prototype,,,,,,,,,,,
1333772905,1333772905.cpp,cpp,3,diverse,,,,,,,,,,,
1314168969,1314168969.java,java,4,prototype,,,,,,,,,,,
1314184031,1314184031.java,java,4,diverse,,,,,,,,,,,
1314158843,1314158843.cpp,cpp,5,prototype,,,,,,,,,,,
1323388419,1323388419.cpp,cpp,5,diverse,,,,,,,,,,,
1314236638,1314236638.java,java,6,prototype,,,,,,,,,,,
1323105206,1323105206.java,java,6,diverse,,,,,,,,,,,
1378143030,1378143030.java,java,7,prototype,,,,,,,,,,,
1314236028,1314236028.java,java,7,diverse,,,,,,,,,,,
