submission_id,file,language,cluster,selection_role,centroid_similarity
1314236712,1314236712.cpp,cpp,0,prototype,0.9931370615959167
1314237178,1314237178.cpp,cpp,0,diverse,0.968163013458252
1314236683,1314236683.cpp,cpp,1,prototype,0.992928147315979
1344629085,1344629085.cpp,cpp,1,diverse,0.8602830171585083
1314237503,1314237503.java,java,2,prototype,0.9931947588920593
1391831540,1391831540.java,java,2,diverse,0.9617956876754761
1323449824,1323449824.cpp,cpp,3,prototype,0.9879038333892822
1333772905,1333772905.cpp,cpp,3,diverse,0.9325141906738281
1314168969,1314168969.java,java,4,prototype,0.9985060691833496
1314184031,1314184031.java,java,4,diverse,0.994892418384552
1314158843,1314158843.cpp,cpp,5,prototype,0.9927186965942383
1323388419,1323388419.cpp,cpp,5,diverse,0.9251755475997925
1314236638,1314236638.java,java,6,prototype,0.9904729723930359
1323105206,1323105206.java,java,6,diverse,0.9306696653366089
1378143030,1378143030.java,java,7,prototype,0.9875349998474121
1314236028,1314236028.java,java,7,diverse,0.909005880355835
