problem,language,submission_id,source_file,issue_id,severity,line,column,message,verbose_message,inconclusive,cwe,is_unused_code
cutiile-magice,cpp,1314234678,cutiile-magice/1314234678.cpp,unusedVariable,style,11,13,Unused variable: j,Unused variable: j,false,563,True
cutiile-magice,cpp,1314234678,cutiile-magice/1314234678.cpp,legacyUninitvar,error,22,15,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234678,cutiile-magice/1314234678.cpp,uninitvar,warning,25,11,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234701,cutiile-magice/1314234701.cpp,legacyUninitvar,error,22,15,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234701,cutiile-magice/1314234701.cpp,uninitvar,warning,30,11,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234755,cutiile-magice/1314234755.cpp,legacyUninitvar,error,22,15,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234755,cutiile-magice/1314234755.cpp,uninitvar,warning,31,11,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,unusedVariable,style,11,13,Unused variable: j,Unused variable: j,false,563,True
cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,legacyUninitvar,error,29,18,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,unreadVariable,style,29,11,Variable 'i' is assigned a value that is never used.,Variable 'i' is assigned a value that is never used.,false,563,True
cutiile-magice,cpp,1314234918,cutiile-magice/1314234918.cpp,uninitvar,warning,33,11,Uninitialized variable: rez,Uninitialized variable: rez,false,457,False
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,cstyleCast,style,22,20,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,cstyleCast,style,24,18,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,nullPointerOutOfMemory,warning,24,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,nullPointerOutOfMemory,warning,27,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314235851,cutiile-magice/1314235851.cpp,nullPointerOutOfMemory,warning,28,5,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,cstyleCast,style,22,20,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,cstyleCast,style,24,18,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,nullPointerOutOfMemory,warning,24,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,nullPointerOutOfMemory,warning,27,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,nullPointerOutOfMemory,warning,28,5,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236043,cutiile-magice/1314236043.cpp,unusedFunction,style,8,8,The function 'myFraction' is never used.,The function 'myFraction' is never used.,false,561,True
cutiile-magice,cpp,1314236059,cutiile-magice/1314236059.cpp,unusedVariable,style,14,11,Unused variable: j,Unused variable: j,false,563,True
cutiile-magice,cpp,1314236059,cutiile-magice/1314236059.cpp,variableScope,style,15,12,The scope of the variable 'auxSum' can be reduced.,"The scope of the variable 'auxSum' can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for 'i' can be reduced:\012void f(int x)\012{\012    int i = 0;\012    if (x) {\012        // it's safe to move 'int i = 0;' here\012        for (int n = 0; n < 10; ++n) {\012            // it is possible but not safe to move 'int i = 0;' here\012            do_something(&i);\012        }\012    }\012}\012When you see this message it is always safe to reduce the variable scope 1 level.",false,398,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,cstyleCast,style,22,20,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,cstyleCast,style,24,18,C-style pointer casting,"C-style pointer casting detected. C++ offers four different kinds of casts as replacements: static_cast, const_cast, dynamic_cast and reinterpret_cast. A C-style cast could evaluate to any of those automatically, thus it is considered safer if the programmer explicitly states which kind of cast is expected.",false,398,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,nullPointerOutOfMemory,warning,24,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,nullPointerOutOfMemory,warning,27,9,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,nullPointerOutOfMemory,warning,28,5,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,nullPointerOutOfMemory,warning,42,13,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
cutiile-magice,cpp,1314236255,cutiile-magice/1314236255.cpp,nullPointerOutOfMemory,warning,42,25,"If memory allocation fails, then there is a possible null pointer dereference: pos","If memory allocation fails, then there is a possible null pointer dereference: pos",false,476,False
