problem,submission_id,location,type
cutiile-magice,1344729748,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1344729748.cpp,source_file
cutiile-magice,1344729748,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1344729748.cpp,source_file
cutiile-magice,1314236146,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236146.cpp,source_file
cutiile-magice,1314236146,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236146.cpp,source_file
cutiile-magice,1314236723,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236723.java,source_file
cutiile-magice,1314236723,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236723.java,source_file
cutiile-magice,1370576093,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1370576093.cpp,source_file
cutiile-magice,1370576093,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1370576093.cpp,source_file
cutiile-magice,1314234716,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314234716.cpp,source_file
cutiile-magice,1314234716,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314234716.cpp,source_file
cutiile-magice,1370578807,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1370578807.cpp,source_file
cutiile-magice,1370578807,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1370578807.cpp,source_file
cutiile-magice,1314235906,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314235906.cpp,source_file
cutiile-magice,1314235906,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314235906.cpp,source_file
cutiile-magice,1344729756,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1344729756.cpp,source_file
cutiile-magice,1344729756,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1344729756.cpp,source_file
cutiile-magice,1314236871,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236871.java,source_file
cutiile-magice,1314236871,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236871.java,source_file
cutiile-magice,1314236677,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236677.java,source_file
cutiile-magice,1314236677,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236677.java,source_file
cutiile-magice,1314237269,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237269.cpp,source_file
cutiile-magice,1314237269,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237269.cpp,source_file
cutiile-magice,1314213388,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314213388.cpp,source_file
cutiile-magice,1314213388,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314213388.cpp,source_file
cutiile-magice,1314213401,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314213401.cpp,source_file
cutiile-magice,1314213401,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314213401.cpp,source_file
cutiile-magice,1314236075,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236075.cpp,source_file
cutiile-magice,1314236075,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236075.cpp,source_file
cutiile-magice,1323454022,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323454022.java,source_file
cutiile-magice,1323454022,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1323454022.java,source_file
cutiile-magice,1314237369,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237369.cpp,source_file
cutiile-magice,1314237369,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237369.cpp,source_file
cutiile-magice,1332595239,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1332595239.cpp,source_file
cutiile-magice,1332595239,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1332595239.cpp,source_file
cutiile-magice,1314237661,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237661.cpp,source_file
cutiile-magice,1314237661,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237661.cpp,source_file
cutiile-magice,1314237698,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237698.cpp,source_file
cutiile-magice,1314237698,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237698.cpp,source_file
cutiile-magice,1323389682,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323389682.java,source_file
cutiile-magice,1323389682,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1323389682.java,source_file
cutiile-magice,1323453939,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323453939.java,source_file
